Date,Price,Open,High,Low,Change
2015-06-03,1.1275,1.1151,1.1284,1.1079,0.0108
2015-06-04,1.1239,1.1276,1.1381,1.1227,-0.0032
2015-06-05,1.1113,1.1239,1.1281,1.105,-0.0112
2015-06-08,1.1292,1.1113,1.1307,1.108,0.0161
2015-06-09,1.1284,1.1292,1.1345,1.1214,-0.0007
2015-06-10,1.1326,1.1286,1.1387,1.1261,0.0037
2015-06-11,1.1258,1.1325,1.1332,1.1183,-0.006
2015-06-12,1.1269,1.1258,1.1298,1.1151,0.001
2015-06-15,1.1284,1.1225,1.1294,1.1189,0.0013
2015-06-16,1.1248,1.1283,1.1331,1.1206,-0.0032
2015-06-17,1.1337,1.1249,1.136,1.1213,0.0079
2015-06-18,1.136,1.1337,1.1438,1.1331,0.002
2015-06-19,1.1353,1.136,1.1393,1.1292,-0.0006
2015-06-22,1.1341,1.1363,1.1411,1.1312,-0.0011
2015-06-23,1.117,1.1341,1.1348,1.1135,-0.0151
2015-06-24,1.1207,1.1171,1.1237,1.1156,0.0033
2015-06-25,1.1204,1.1204,1.1227,1.1153,-0.0003
2015-06-26,1.1166,1.1207,1.1221,1.1131,-0.0034
2015-06-29,1.1236,1.1031,1.1279,1.0954,0.0063
2015-06-30,1.1138,1.1237,1.1246,1.1114,-0.0087
2015-07-01,1.1054,1.1139,1.1172,1.1042,-0.0075
2015-07-02,1.1084,1.1054,1.1124,1.1031,0.0027
2015-07-03,1.1114,1.1086,1.1119,1.1066,0.0027
2015-07-06,1.1057,1.0993,1.1097,1.0969,-0.0051
2015-07-07,1.1012,1.1056,1.1061,1.0917,-0.0041
2015-07-08,1.1077,1.1012,1.1094,1.0974,0.0059
2015-07-09,1.1038,1.1078,1.1126,1.0992,-0.0035
2015-07-10,1.1164,1.1037,1.1218,1.1031,0.0114
2015-07-13,1.1004,1.1107,1.1197,1.0995,-0.0143
2015-07-14,1.1012,1.1004,1.1084,1.0966,0.0007
2015-07-15,1.0949,1.101,1.1035,1.093,-0.0057
2015-07-16,1.0875,1.0947,1.0964,1.0856,-0.0068
2015-07-17,1.0829,1.0875,1.0907,1.0827,-0.0042
2015-07-20,1.0827,1.0833,1.0872,1.081,-0.0002
2015-07-21,1.0937,1.0825,1.097,1.0811,0.0102
2015-07-22,1.0934,1.0936,1.0966,1.0869,-0.0003
2015-07-23,1.0983,1.0928,1.1019,1.0922,0.0045
2015-07-24,1.0984,1.0983,1.0997,1.0926,0.0001
2015-07-27,1.1094,1.0974,1.113,1.097,0.01
2015-07-28,1.1059,1.1089,1.1101,1.1022,-0.0032
2015-07-29,1.0986,1.1061,1.1086,1.0967,-0.0066
2015-07-30,1.0933,1.0987,1.0992,1.0894,-0.0048
2015-07-31,1.0988,1.0934,1.1114,1.0921,0.005
2015-08-03,1.0951,1.097,1.0997,1.0941,-0.0034
2015-08-04,1.0882,1.0951,1.0989,1.0877,-0.0063
2015-08-05,1.0906,1.0883,1.0938,1.0849,0.0022
2015-08-06,1.0925,1.0909,1.0944,1.0876,0.0017
2015-08-07,1.0968,1.093,1.0981,1.0857,0.0039
2015-08-10,1.1019,1.0969,1.1044,1.0927,0.0046
2015-08-11,1.104,1.1019,1.1088,1.096,0.0019
2015-08-12,1.1157,1.104,1.1212,1.1023,0.0106
2015-08-13,1.1149,1.1157,1.1189,1.108,-0.0007
