Date,Price,Open,High,Low,Change
2017-10-26,1.316,1.3264,1.3281,1.3147,-0.0078
2017-10-27,1.3129,1.3161,1.3164,1.307,-0.0024
2017-10-30,1.3208,1.3112,1.3216,1.3105,0.006
2017-10-31,1.3283,1.3207,1.3289,1.319,0.0057
2017-11-01,1.3246,1.3282,1.3321,1.324,-0.0028
2017-11-02,1.3059,1.3245,1.33,1.3043,-0.0141
2017-11-03,1.3076,1.3059,1.3132,1.3039,0.0013
2017-11-06,1.3172,1.3085,1.3177,1.3058,0.0073
2017-11-07,1.3167,1.317,1.3179,1.3109,-0.0004
2017-11-08,1.3116,1.3167,1.3178,1.3087,-0.0039
2017-11-09,1.3151,1.3115,1.3167,1.3086,0.0027
2017-11-10,1.3191,1.3148,1.3232,1.3113,0.003
2017-11-13,1.3116,1.3183,1.3198,1.3062,-0.0057
2017-11-14,1.3165,1.3116,1.3188,1.3075,0.0037
2017-11-15,1.3171,1.3167,1.3216,1.3131,0.0005
2017-11-16,1.3195,1.3171,1.3209,1.3135,0.0018
2017-11-17,1.3214,1.3196,1.3261,1.317,0.0014
2017-11-20,1.3235,1.3217,1.328,1.3184,0.0016
2017-11-21,1.3239,1.3236,1.327,1.3211,0.0003
2017-11-22,1.3326,1.3239,1.3332,1.3214,0.0066
2017-11-23,1.331,1.3325,1.3338,1.3284,-0.0012
2017-11-24,1.3337,1.3309,1.3361,1.3279,0.002
2017-11-27,1.3318,1.3337,1.3384,1.331,-0.0014
2017-11-28,1.3338,1.3312,1.3388,1.3221,0.0015
2017-11-29,1.3409,1.334,1.345,1.3339,0.0053
2017-11-30,1.3526,1.341,1.355,1.3405,0.0087
2017-12-01,1.3473,1.3525,1.3552,1.3445,-0.0039
2017-12-04,1.3479,1.3479,1.3539,1.3417,0.0004
2017-12-05,1.3443,1.3479,1.3483,1.337,-0.0027
2017-12-06,1.3394,1.3442,1.3449,1.3357,-0.0036
2017-12-07,1.3474,1.3391,1.3485,1.3319,0.006
2017-12-08,1.3392,1.3477,1.3521,1.3355,-0.0061
2017-12-11,1.3339,1.3392,1.3432,1.3331,-0.004
2017-12-12,1.3317,1.3339,1.3381,1.3304,-0.0016
2017-12-13,1.342,1.3317,1.3422,1.3311,0.0077
2017-12-14,1.3432,1.3418,1.3463,1.339,0.0009
2017-12-15,1.3321,1.3431,1.345,1.3302,-0.0083
2017-12-18,1.3382,1.3328,1.342,1.331,0.0046
2017-12-19,1.3385,1.3382,1.3403,1.3332,0.0002
2017-12-20,1.3376,1.3386,1.3422,1.3372,-0.0007
2017-12-21,1.3385,1.3376,1.3389,1.3331,0.0007
2017-12-22,1.3362,1.3386,1.3399,1.3349,-0.0017
2017-12-25,1.3369,1.3357,1.3396,1.3355,0.0005
2017-12-26,1.3374,1.3371,1.3391,1.3347,0.0004
2017-12-27,1.3397,1.3375,1.3431,1.3368,0.0017
2017-12-28,1.3443,1.3397,1.3458,1.3392,0.0034
2017-12-29,1.3515,1.3444,1.3545,1.3428,0.0054
2018-01-01,1.3503,1.3515,1.3522,1.3494,-0.0009
2018-01-02,1.3588,1.3507,1.3602,1.35,0.0063
2018-01-03,1.3516,1.3588,1.3614,1.3497,-0.0053
2018-01-04,1.3553,1.3515,1.3562,1.3505,0.0027
2018-01-05,1.3571,1.3552,1.3583,1.3523,0.0013
2018-01-08,1.3568,1.3572,1.3587,1.3523,-0.0002
2018-01-09,1.354,1.357,1.3583,1.3506,-0.0021
2018-01-10,1.3507,1.3541,1.3564,1.3482,-0.0024
2018-01-11,1.3538,1.3506,1.3556,1.3457,0.0023
2018-01-12,1.3729,1.3538,1.3743,1.3535,0.0141
2018-01-15,1.3792,1.3731,1.3822,1.3723,0.0046
2018-01-16,1.3793,1.3791,1.3806,1.374,0.0001
2018-01-17,1.3827,1.3791,1.3944,1.3757,0.0025
2018-01-18,1.3893,1.3831,1.3914,1.3805,0.0048
2018-01-19,1.3852,1.3897,1.3947,1.384,-0.003
2018-01-22,1.3987,1.3881,1.3993,1.3858,0.0097
2018-01-23,1.4001,1.3989,1.4028,1.3916,0.001
2018-01-24,1.4243,1.3999,1.4263,1.3997,0.0173
2018-01-25,1.4146,1.4244,1.4345,1.4083,-0.0068
2018-01-26,1.417,1.4147,1.4287,1.4109,0.0017
2018-01-29,1.4075,1.4163,1.4163,1.4026,-0.0067
2018-01-30,1.4146,1.4074,1.4166,1.3979,0.005
2018-01-31,1.4192,1.4148,1.4234,1.4121,0.0033
2018-02-01,1.4265,1.4191,1.4278,1.4158,0.0051
2018-02-02,1.4123,1.4264,1.428,1.4102,-0.01
2018-02-05,1.3959,1.413,1.4151,1.3955,-0.0116
